ioi,Frequency,StartYear,EndYear,Slope,STD_of_Slope,P_Value,seq,RCP,Percentile,Model
dtr,ANN,1951,2100,-0.008,0.001,0,6,RCP 8.5,75th,IPSL-IPSL-CM5A-MR
wsdi,ANN,1951,2100,3.265,0.09,0,6,RCP 8.5,75th,IPSL-IPSL-CM5A-MR
txge30,ANN,1951,2100,1.53,0.031,0,6,RCP 8.5,75th,IPSL-IPSL-CM5A-MR
cwd,ANN,1951,2100,-0.07,0.044,0.114,6,RCP 8.5,75th,IPSL-IPSL-CM5A-MR
r10mm,ANN,1951,2100,0.071,0.021,0.001,6,RCP 8.5,75th,IPSL-IPSL-CM5A-MR
r20mm,ANN,1951,2100,0.194,0.016,0,6,RCP 8.5,75th,IPSL-IPSL-CM5A-MR
rx5day,ANN,1951,2100,0.707,0.133,0,6,RCP 8.5,75th,IPSL-IPSL-CM5A-MR
sdii,ANN,1951,2100,0.031,0.003,0,6,RCP 8.5,75th,IPSL-IPSL-CM5A-MR
r95p,ANN,1951,2100,6.856,0.586,0,6,RCP 8.5,75th,IPSL-IPSL-CM5A-MR
r99p,ANN,1951,2100,2.929,0.425,0,6,RCP 8.5,75th,IPSL-IPSL-CM5A-MR
HWM-EHF,ANN,1951,2100,0.014,0.001,0,6,RCP 8.5,75th,IPSL-IPSL-CM5A-MR
HWN-EHF,ANN,1951,2100,-0.021,0.006,0,6,RCP 8.5,75th,IPSL-IPSL-CM5A-MR
HWD-EHF,ANN,1951,2100,1.28,0.114,0,6,RCP 8.5,75th,IPSL-IPSL-CM5A-MR
dtr,ANN,1951,2100,-0.005,0,0,5,RCP 8.5,50th,NCC-NorESM1-M
wsdi,ANN,1951,2100,2.154,0.078,0,5,RCP 8.5,50th,NCC-NorESM1-M
txge30,ANN,1951,2100,1.309,0.041,0,5,RCP 8.5,50th,NCC-NorESM1-M
cwd,ANN,1951,2100,-0.018,0.038,0.63,5,RCP 8.5,50th,NCC-NorESM1-M
r10mm,ANN,1951,2100,0.082,0.023,0,5,RCP 8.5,50th,NCC-NorESM1-M
r20mm,ANN,1951,2100,0.069,0.013,0,5,RCP 8.5,50th,NCC-NorESM1-M
rx5day,ANN,1951,2100,-0.069,0.145,0.636,5,RCP 8.5,50th,NCC-NorESM1-M
sdii,ANN,1951,2100,0.009,0.003,0.001,5,RCP 8.5,50th,NCC-NorESM1-M
r95p,ANN,1951,2100,0.633,0.541,0.244,5,RCP 8.5,50th,NCC-NorESM1-M
r99p,ANN,1951,2100,-0.319,0.389,0.414,5,RCP 8.5,50th,NCC-NorESM1-M
HWM-EHF,ANN,1951,2100,0.011,0.001,0,5,RCP 8.5,50th,NCC-NorESM1-M
HWN-EHF,ANN,1951,2100,0.008,0.006,0.161,5,RCP 8.5,50th,NCC-NorESM1-M
HWD-EHF,ANN,1951,2100,0.836,0.052,0,5,RCP 8.5,50th,NCC-NorESM1-M
dtr,ANN,1951,2100,-0.005,0.001,0,4,RCP 8.5,25th,NOAA-GFDL-GFDL-ESM2M
wsdi,ANN,1951,2100,2.514,0.074,0,4,RCP 8.5,25th,NOAA-GFDL-GFDL-ESM2M
txge30,ANN,1951,2100,1.16,0.037,0,4,RCP 8.5,25th,NOAA-GFDL-GFDL-ESM2M
cwd,ANN,1951,2100,0.019,0.05,0.701,4,RCP 8.5,25th,NOAA-GFDL-GFDL-ESM2M
r10mm,ANN,1951,2100,0.069,0.027,0.011,4,RCP 8.5,25th,NOAA-GFDL-GFDL-ESM2M
r20mm,ANN,1951,2100,0.079,0.02,0,4,RCP 8.5,25th,NOAA-GFDL-GFDL-ESM2M
rx5day,ANN,1951,2100,0.244,0.147,0.099,4,RCP 8.5,25th,NOAA-GFDL-GFDL-ESM2M
sdii,ANN,1951,2100,0.006,0.004,0.112,4,RCP 8.5,25th,NOAA-GFDL-GFDL-ESM2M
r95p,ANN,1951,2100,-0.727,0.822,0.378,4,RCP 8.5,25th,NOAA-GFDL-GFDL-ESM2M
r99p,ANN,1951,2100,0.465,0.479,0.333,4,RCP 8.5,25th,NOAA-GFDL-GFDL-ESM2M
HWM-EHF,ANN,1951,2100,0.013,0.001,0,4,RCP 8.5,25th,NOAA-GFDL-GFDL-ESM2M
HWN-EHF,ANN,1951,2100,-0.002,0.007,0.818,4,RCP 8.5,25th,NOAA-GFDL-GFDL-ESM2M
HWD-EHF,ANN,1951,2100,0.941,0.076,0,4,RCP 8.5,25th,NOAA-GFDL-GFDL-ESM2M
dtr,ANN,1951,2100,-0.004,0.001,0,3,RCP 4.5,75th,IPSL-IPSL-CM5A-MR
wsdi,ANN,1951,2100,2.664,0.076,0,3,RCP 4.5,75th,IPSL-IPSL-CM5A-MR
txge30,ANN,1951,2100,1.251,0.032,0,3,RCP 4.5,75th,IPSL-IPSL-CM5A-MR
cwd,ANN,1951,2100,-0.052,0.047,0.275,3,RCP 4.5,75th,IPSL-IPSL-CM5A-MR
r10mm,ANN,1951,2100,0.012,0.021,0.571,3,RCP 4.5,75th,IPSL-IPSL-CM5A-MR
r20mm,ANN,1951,2100,0.062,0.016,0,3,RCP 4.5,75th,IPSL-IPSL-CM5A-MR
rx5day,ANN,1951,2100,0.228,0.124,0.068,3,RCP 4.5,75th,IPSL-IPSL-CM5A-MR
sdii,ANN,1951,2100,0.009,0.002,0,3,RCP 4.5,75th,IPSL-IPSL-CM5A-MR
r95p,ANN,1951,2100,2.078,0.521,0,3,RCP 4.5,75th,IPSL-IPSL-CM5A-MR
r99p,ANN,1951,2100,0.902,0.4,0.026,3,RCP 4.5,75th,IPSL-IPSL-CM5A-MR
HWM-EHF,ANN,1951,2100,0.012,0.001,0,3,RCP 4.5,75th,IPSL-IPSL-CM5A-MR
HWN-EHF,ANN,1951,2100,-0.014,0.006,0.026,3,RCP 4.5,75th,IPSL-IPSL-CM5A-MR
HWD-EHF,ANN,1951,2100,1.183,0.072,0,3,RCP 4.5,75th,IPSL-IPSL-CM5A-MR
dtr,ANN,1951,2100,-0.004,0.001,0,2,RCP 4.5,50th,NCC-NorESM1-M
wsdi,ANN,1951,2100,1.048,0.059,0,2,RCP 4.5,50th,NCC-NorESM1-M
txge30,ANN,1951,2100,0.883,0.041,0,2,RCP 4.5,50th,NCC-NorESM1-M
cwd,ANN,1951,2100,0.037,0.035,0.297,2,RCP 4.5,50th,NCC-NorESM1-M
r10mm,ANN,1951,2100,0.107,0.021,0,2,RCP 4.5,50th,NCC-NorESM1-M
r20mm,ANN,1951,2100,0.059,0.012,0,2,RCP 4.5,50th,NCC-NorESM1-M
rx5day,ANN,1951,2100,0.063,0.145,0.663,2,RCP 4.5,50th,NCC-NorESM1-M
sdii,ANN,1951,2100,0.009,0.003,0,2,RCP 4.5,50th,NCC-NorESM1-M
r95p,ANN,1951,2100,0.92,0.559,0.102,2,RCP 4.5,50th,NCC-NorESM1-M
r99p,ANN,1951,2100,0.183,0.411,0.657,2,RCP 4.5,50th,NCC-NorESM1-M
HWM-EHF,ANN,1951,2100,0.004,0,0,2,RCP 4.5,50th,NCC-NorESM1-M
HWN-EHF,ANN,1951,2100,0.044,0.005,0,2,RCP 4.5,50th,NCC-NorESM1-M
HWD-EHF,ANN,1951,2100,0.516,0.042,0,2,RCP 4.5,50th,NCC-NorESM1-M
dtr,ANN,1951,2100,-0.003,0.001,0.001,1,RCP 4.5,25th,NOAA-GFDL-GFDL-ESM2M
wsdi,ANN,1951,2100,1.448,0.065,0,1,RCP 4.5,25th,NOAA-GFDL-GFDL-ESM2M
txge30,ANN,1951,2100,0.768,0.036,0,1,RCP 4.5,25th,NOAA-GFDL-GFDL-ESM2M
cwd,ANN,1951,2100,0.046,0.049,0.349,1,RCP 4.5,25th,NOAA-GFDL-GFDL-ESM2M
r10mm,ANN,1951,2100,0.048,0.027,0.08,1,RCP 4.5,25th,NOAA-GFDL-GFDL-ESM2M
r20mm,ANN,1951,2100,0.057,0.021,0.008,1,RCP 4.5,25th,NOAA-GFDL-GFDL-ESM2M
